"mean_sbp_2011_2015","or","lower","upper"
103.166666666667,0.745524937473498,0.526556094891837,1.05555217722631
103.537735849057,0.749812117503804,0.533787179765136,1.05326285993401
103.908805031447,0.754125577746638,0.541015157099648,1.0511819854743
104.279874213836,0.758467123969956,0.548228900473187,1.04932880708538
104.650943396226,0.762838600784359,0.555416839566099,1.04772252008284
105.022012578616,0.767241892283223,0.562567034498007,1.04638218234671
105.393081761006,0.771678922728166,0.569667270100871,1.04532661614465
105.764150943396,0.776151657281345,0.576705171687795,1.04457428973205
106.135220125786,0.780662102786326,0.583668343300246,1.04414317775201
106.506289308176,0.785212308599086,0.590544528597381,1.04405060028227
106.877358490566,0.789804367470979,0.597321793481017,1.04431304145285
107.248427672956,0.794440416485371,0.603988728244147,1.04494594986933
107.619496855346,0.799122638049833,0.610534665541192,1.04596352457343
107.990566037736,0.803853260945752,0.616949908895536,1.04737849186154
108.361635220126,0.80863456143739,0.623225964917105,1.04920187983184
108.732704402516,0.813468864442348,0.629355771065613,1.05144279887462
109.103773584906,0.818358544765617,0.635333909847892,1.05410823727516
109.474842767296,0.823306028399381,0.641156799955666,1.05720288148801
109.845911949686,0.828313793890852,0.646822855170135,1.06072897032896
110.216981132075,0.833384373780522,0.652332602948465,1.06468619125024
110.588050314465,0.838520356113242,0.657688756437382,1.06907162504187
110.959119496855,0.843724386024775,0.662896236101234,1.07387974286849
111.330188679245,0.848999167406434,0.667962139983888,1.07910245672637
111.701257861635,0.854347464650571,0.672895664562161,1.08472922147566
112.072327044025,0.859772104479913,0.677707980890079,1.09074718386962
112.443396226415,0.865275977863646,0.682412073004848,1.09714137173914
112.814465408805,0.870862042023534,0.687022547165284,1.1038949149
113.185534591195,0.876533322533258,0.6915554213161,1.11098928853601
113.556603773585,0.882292915514536,0.696027904216639,1.11840456977548
113.927672955975,0.888143989933525,0.700458173029201,1.12611969883055
114.298742138365,0.894089790001385,0.704865156985096,1.13411273725596
114.669811320755,0.900133637682841,0.709268333220964,1.1423611174189
115.040880503145,0.906278935316948,0.713687539190784,1.15084187896919
115.411949685535,0.912529168354373,0.718142804372295,1.15953188979644
115.783018867925,0.918887908215678,0.722654202424147,1.16840805053453
116.154088050314,0.925358815275401,0.72724172359185,1.17744748304412
116.525157232704,0.931945641976849,0.73192516604382,1.18662770443344
116.896226415094,0.938652236082846,0.736724043947222,1.19592678906302
117.267295597484,0.945482544067895,0.741657509444017,1.20532352164443
117.638364779874,0.952440614657441,0.746744285222712,1.21479754502372
118.009433962264,0.959530602520272,0.752002604054279,1.22432950658567
118.380503144654,0.966756772120329,0.757450151423415,1.2339012074711
118.751572327044,0.974123501734551,0.763104007193006,1.24349575901464
119.122641509434,0.981635287643646,0.76898058204899,1.25309775102466
119.493710691824,0.989296748503137,0.775095544249899,1.26269343677627
119.864779874214,0.997112629029166,0.781463730056065,1.27227094071036
120.235849056604,1.00508596358668,0.788095105565704,1.28182219006909
120.606918238994,1.01321409328355,0.794986174905363,1.29134673184803
120.977987421384,1.0214931228296,0.802129545570637,1.3008474824922
121.349056603774,1.02991900320047,0.809516333451281,1.31032952557132
121.720125786164,1.03848752327233,0.817136227665108,1.3197999299014
122.091194968553,1.04719430159406,0.824977547524238,1.32926757653225
122.462264150943,1.05603477831038,0.833027295747658,1.33874299040841
122.833333333333,1.06500420725116,0.841271211889498,1.34823817269959
123.204402515723,1.07409764820296,0.849693829802973,1.35776642998885
123.575471698113,1.08330995938054,0.858278542786516,1.36734219672199
123.946540880503,1.09263579011699,0.867007679837334,1.37698084758438
124.317610062893,1.1020695737927,0.875862596140468,1.38669849680946
124.688679245283,1.11160552102436,0.884823780520888,1.39651178186509
125.059748427673,1.12123761313644,0.893870982054949,1.40643762953547
125.430817610063,1.13095959593885,0.902983357355439,1.41649300314036
125.801886792453,1.14076497383537,0.912139639199489,1.42669463051919
126.172955974843,1.15064700428884,0.921318326163738,1.43705871345447
126.544025157233,1.16059869266974,0.930497891787029,1.44760062039453
126.915094339623,1.17061278751608,0.939657010539788,1.45833456561877
127.286163522013,1.1806817762332,0.948774796605385,1.46927327930379
127.657232704403,1.19079788126297,0.957831050257227,1.48042767421204
128.028301886792,1.20095305675267,0.966806505545048,1.49180651583482
128.399371069182,1.2111389857544,0.975683072190108,1.5034161036755
128.770440251572,1.22134707798646,0.984444064128313,1.51525997185721
129.141509433962,1.23156846818871,0.99307440710907,1.52733861730675
129.512578616352,1.24179401510397,1.00156081819634,1.53964926336181
129.883647798742,1.25201430111814,1.00989195092363,1.55218566577415
130.254716981132,1.26221963259142,1.0180585011733,1.5649379667898
130.625786163522,1.27240004091325,1.02605327048479,1.57789260137643
130.996855345912,1.28254528431334,1.03387118531265,1.59103225786967
131.367924528302,1.29264485046054,1.04150927260055,1.60433589347697
131.738993710692,1.30268795988139,1.04896659376098,1.61777880336064
132.110062893082,1.31266357022864,1.05624414061691,1.63133274055279
132.481132075472,1.32256038143017,1.06334469797365,1.64496608283466
132.852201257862,1.33236684174671,1.07027267818677,1.65864404199649
133.223270440252,1.34207115476628,1.07703393336362,1.67232891059488
133.594339622642,1.35166193487387,1.0836358133138,1.68598154817342
133.965408805031,1.361134239115,1.09008903458603,1.69957348263276
134.336477987421,1.3704870222356,1.09640542181622,1.7130840843571
134.707547169811,1.37971937963631,1.10259604550245,1.72649409936575
135.078616352201,1.3888304989994,1.1086712007078,1.73978556827262
135.449685534591,1.3978196600461,1.1146404163173,1.75294182178228
135.820754716981,1.40668623421754,1.12051247120892,1.7659474681279
136.191823899371,1.41542968428155,1.12629541553329,1.77878837427103
136.562893081761,1.42404956386773,1.13199659558864,1.79145164239416
136.933962264151,1.43254551693303,1.13762268104533,1.8039255829527
137.305031446541,1.44091727716019,1.14317969351316,1.81619968531644
137.676100628931,1.44916466729169,1.14867303565374,1.82826458682511
138.047169811321,1.45728759840153,1.15410752021893,1.84011204090589
138.418238993711,1.46528606910746,1.15948739854736,1.85173488475191
138.789308176101,1.47316016472622,1.16481638817688,1.86312700693787
139.160377358491,1.48091005637451,1.17009769933434,1.87428331524692
139.531446540881,1.4885360000181,1.1753340601474,1.88519970490093
139.90251572327,1.49603833547196,1.18052774049163,1.89587302732053
140.27358490566,1.50341748535402,1.18568057443896,1.90630105948872
140.64465408805,1.51067395399518,1.19079398131667,1.91648247395074
141.01572327044,1.51780832630832,1.19586898541846,1.92641680945068
141.38679245283,1.52482126661905,1.2009062344355,1.93610444218125
141.75786163522,1.53171351746082,1.20590601669408,1.94554655760322
142.12893081761,1.53848589833707,1.21086827730182,1.95474512277775
142.5,1.54513930445324,1.21579263331506,1.96370285914337
142.87106918239,1.55167470542106,1.22067838804844,1.97242321566195
143.24213836478,1.55809314393807,1.22552454465322,1.98091034225166
143.61320754717,1.56439573444471,1.23032981909525,1.98916906342114
143.98427672956,1.57058366176182,1.23509265266582,1.99720485201574
144.35534591195,1.57665817971093,1.23981122416036,2.00502380298492
144.72641509434,1.5826206097201,1.24448346186048,2.01263260707889
145.09748427673,1.58847233941756,1.24910705545419,2.02003852438189
145.46855345912,1.5942148212159,1.25367946802824,2.02724935759032
145.839622641509,1.59984957088904,1.25819794826408,2.03427342494493
146.210691823899,1.60537816614457,1.26265954296587,2.04111953272851
146.581761006289,1.6108022451936,1.26706111004458,2.04779694724389
146.952830188679,1.61612350532063,1.27139933207655,2.054315366191
147.323899371069,1.62134370145562,1.27567073054802,2.06068488936837
147.694968553459,1.62646464475051,1.27987168088798,2.066915988631
148.066037735849,1.6314882011623,1.28399842838146,2.07301947704646
148.437106918239,1.63641629004492,1.28804710504254,2.07900647720173
148.808176100629,1.64125088275193,1.29201374751178,2.08488838862718
149.179245283019,1.645994001252,1.29589431602537,2.09067685431882
149.550314465409,1.65064771675919,1.29968471448451,2.09638372635857
149.921383647799,1.65521414838005,1.3033808116314,2.10202103065201
150.292452830189,1.6596954617792,1.30697846331473,2.1076009308251
