transition_group,n,cvd_events,heart_events,stroke_events,event_rate_pct,mean_sbp_2011,mean_dbp_2011,mean_sbp_2015,mean_dbp_2015,transition_group_label,sparse_event_flag
persistent_nonhypertensive,3616,174.0,129.0,50.0,4.811946902654867,116.45870206489676,69.56093289085545,116.9029314159292,69.83646755162242,Persistent non-hypertensive,False
incident_hypertension,940,73.0,52.0,23.0,7.76595744680851,124.7854609929078,73.86631205673758,139.55425531914895,81.5991134751773,Incident hypertension,False
persistent_unaware_or_untreated,657,45.0,26.0,21.0,6.8493150684931505,150.34195839675291,85.05073566717402,148.94875697615424,84.40030441400305,Persistent unaware/untreated hypertension,False
new_awareness_or_treatment_uncontrolled,170,18.0,14.0,5.0,10.588235294117647,160.9029411764706,89.45588235294117,157.34117647058824,87.60196078431373,New awareness/treatment but uncontrolled,False
persistent_aware_or_treated_uncontrolled,456,66.0,36.0,32.0,14.473684210526317,159.42434210526315,88.23866959064328,155.8033625730994,86.38194444444444,Persistent aware/treated but uncontrolled,False
gained_control,298,29.0,25.0,8.0,9.731543624161073,152.41387024608503,86.18456375838926,127.27684563758389,74.71252796420582,Gained control,False
persistent_controlled,170,15.0,14.0,3.0,8.823529411764707,124.78039215686275,74.0921568627451,123.95098039215686,72.45686274509804,Persistent controlled,False
control_loss,194,17.0,13.0,5.0,8.762886597938143,127.45876288659794,74.9192439862543,147.3307560137457,83.79982817869416,Control loss,False
other_transition,474,30.0,21.0,10.0,6.329113924050633,144.4648382559775,82.92791842475387,125.04852320675106,73.57067510548524,Other transitions,False
