"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","subgroup_variable","subgroup_level","interaction_p"
"incident_cvd_2015_2018","subgroup_age_group_45-59","OR","Persistent non-hypertensive","gained_control","Gained control",3998,236,1.65768232996818,0.883071580043014,3.11176440187883,0.115720029175325,"1.66 (0.88-3.11)","0.116","age_group","45-59",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_45-59","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",3998,236,1.21626289470205,0.506089428448802,2.92299215489079,0.661646468727928,"1.22 (0.51-2.92)","0.662","age_group","45-59",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_45-59","OR","Persistent non-hypertensive","control_loss","Control loss",3998,236,1.6783665152033,0.820133384186792,3.43470246873172,0.156400348739583,"1.68 (0.82-3.43)","0.156","age_group","45-59",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_45-59","OR","Persistent non-hypertensive","other_transition","Other transitions",3998,236,1.1145099993234,0.599661568619044,2.07138926953803,0.731719729021104,"1.11 (0.60-2.07)","0.732","age_group","45-59",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",2709,219,1.37756288760412,0.886398964346532,2.14088642432383,0.154464967318969,"1.38 (0.89-2.14)","0.154","age_group",">=60",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",2709,219,1.35955233296659,0.848989419042511,2.17715616309976,0.201054424045384,"1.36 (0.85-2.18)","0.201","age_group",">=60",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",2709,219,1.56045917414404,0.715815469201436,3.40176056391574,0.263080036538482,"1.56 (0.72-3.40)","0.263","age_group",">=60",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",2709,219,2.70718560918069,1.72063794147996,4.25938179431944,1.65503242540856e-05,"2.71 (1.72-4.26)","<0.001","age_group",">=60",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","gained_control","Gained control",2709,219,1.79031171026855,0.981509824250101,3.2655974914704,0.0575460483190664,"1.79 (0.98-3.27)","0.058","age_group",">=60",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",2709,219,1.74892470516191,0.827386837332284,3.69686522230384,0.143244494554276,"1.75 (0.83-3.70)","0.143","age_group",">=60",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","control_loss","Control loss",2709,219,1.21382139280223,0.533096187174574,2.76378336418652,0.644386284175215,"1.21 (0.53-2.76)","0.644","age_group",">=60",0.962977333521679
"incident_cvd_2015_2018","subgroup_age_group_>=60","OR","Persistent non-hypertensive","other_transition","Other transitions",2709,219,1.27134038069212,0.726717570679937,2.22411900962587,0.40016916320954,"1.27 (0.73-2.22)","0.400","age_group",">=60",0.962977333521679
