"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,455,1.43691590731089,1.03133888899588,2.0019872679225,0.0321637261692457,"1.44 (1.03-2.00)","0.032"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,455,1.64379393429104,1.22505352234795,2.20566567020941,0.000922590464253151,"1.64 (1.23-2.21)","<0.001"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,455,2.76940903905666,1.84267186753598,4.16223124731621,9.56242286680559e-07,"2.77 (1.84-4.16)","<0.001"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,455,2.86984612445539,2.08510826346793,3.94992285165738,9.88490805183027e-11,"2.87 (2.09-3.95)","<0.001"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","gained_control","Gained control",6707,455,1.52855417219554,0.871439249549537,2.68117124463257,0.138866977193634,"1.53 (0.87-2.68)","0.139"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,455,1.8392871990003,0.707636127734023,4.78067366520597,0.211155453615704,"1.84 (0.71-4.78)","0.211"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","control_loss","Control loss",6707,455,0.815103522601226,0.321976791564413,2.06348336266346,0.666175205976838,"0.82 (0.32-2.06)","0.666"
"incident_cvd_2015_2018","sensitivity_130_80_model3","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,455,1.33315487781471,0.915512600778086,1.9413189143772,0.133707162950349,"1.33 (0.92-1.94)","0.134"
