"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","incident_hypertension","Incident hypertension",4831,345,1.53422689114758,1.08151210105205,2.17644550738788,0.0164293459160867,"1.53 (1.08-2.18)","0.016"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",4831,345,1.35320272532706,0.919237027512447,1.99204074795364,0.125237250436382,"1.35 (0.92-1.99)","0.125"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",4831,345,2.35734012892288,1.40574273300112,3.95310774366687,0.00114919198122374,"2.36 (1.41-3.95)","0.001"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",4831,345,2.26569002987283,1.66199880410759,3.08866125461594,2.29784079688316e-07,"2.27 (1.66-3.09)","<0.001"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","gained_control","Gained control",4831,345,1.97010596436465,1.24709204038204,3.11229434969062,0.00365528557372039,"1.97 (1.25-3.11)","0.004"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","persistent_controlled","Persistent control",4831,345,1.45342927925542,0.84641404691815,2.49577222576649,0.175250599980656,"1.45 (0.85-2.50)","0.175"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","control_loss","Loss of control",4831,345,1.66218714718572,0.948068905569598,2.91420391074789,0.0760899810528329,"1.66 (0.95-2.91)","0.076"
"incident_cvd_2015_2018","landmark_2015_covariate_poisson_cluster","RR","Persistent non-hypertension","other_transition","Other transitions",4831,345,1.2085084445496,0.752886471097516,1.93985775626792,0.432807295448198,"1.21 (0.75-1.94)","0.433"
