"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,455,1.55827265501522,1.14794313215216,2.11527348294317,0.00444282219925887,"1.56 (1.15-2.12)","0.004"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,455,1.33706248373337,0.94664800793958,1.88849083335455,0.0991912789710249,"1.34 (0.95-1.89)","0.099"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,455,2.09286128263742,1.23300628561999,3.55234875883893,0.00622021713604308,"2.09 (1.23-3.55)","0.006"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,455,2.62737528614166,1.92398976693392,3.58790936046858,1.22860655679499e-09,"2.63 (1.92-3.59)","<0.001"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","gained_control","Gained control",6707,455,1.75437836874225,1.0965794082378,2.80676751504647,0.0190504607662628,"1.75 (1.10-2.81)","0.019"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,455,1.57114649251239,0.925527565180908,2.66712888281342,0.0942557237283807,"1.57 (0.93-2.67)","0.094"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","control_loss","Control loss",6707,455,1.58002350992173,0.922658252440622,2.70574103174354,0.0955726782220847,"1.58 (0.92-2.71)","0.096"
"incident_cvd_2015_2018","cluster_robust_psu_model3","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,455,1.2034852890248,0.786685753230019,1.84111233100673,0.393159586779802,"1.20 (0.79-1.84)","0.393"
