"transition_group","transition_group_label","adjusted_risk_pct","adjusted_risk_ci_lower_pct","adjusted_risk_ci_upper_pct","risk_difference_per_1000","rd_ci_lower_per_1000","rd_ci_upper_per_1000"
"persistent_nonhypertensive","Persistent non-hypertensive",5.20018238367557,4.53367341346959,6.14073756681701,0,0,0
"incident_hypertension","Incident hypertension",7.85542230960557,6.41811617033582,9.82966548586212,26.5523992593,8.38444198161688,47.0091680580706
"persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6.82281867007617,5.17683807607883,9.23219687717315,16.226362864006,-2.46892712827324,41.0937908735395
"new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",10.2517858077783,6.50499261748655,15.5662416541948,50.5160342410272,10.8215986093297,104.010554679964
"persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",12.5176564238663,9.69238407033973,15.9930801048607,73.174740401907,42.9871808692919,109.631231156535
"gained_control","Gained control",8.75037392468355,6.08778726698837,12.5714266938917,35.5019154100798,6.44385426700436,74.1913688274112
"persistent_controlled","Persistent controlled",7.91475531107146,4.81413905003806,12.8821616891659,27.1457292739589,-6.48514425351279,76.2730833571833
"control_loss","Control loss",7.95561964445752,5.06631798820063,12.635380725309,27.5543726078195,-3.81533872330634,71.5787222755858
"other_transition","Other transitions",6.18703699172471,4.4296661001655,8.95519739213129,9.86854608049136,-10.620712927092,37.3687899083509
