"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","p_bh","p_bh_text"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6975,330,1.58289685033837,1.13766405708485,2.20237461419973,0.00642241352333658,"1.58 (1.14-2.20)","0.006",0.0102758616373385,"0.010"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6975,330,1.11379746679916,0.724684169041724,1.71184199965158,0.623080182102531,"1.11 (0.72-1.71)","0.623",0.623080182102531,"0.623"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6975,330,2.42585967004529,1.36589584824116,4.30837764557964,0.00249437599928412,"2.43 (1.37-4.31)","0.002",0.00498875199856824,"0.005"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6975,330,2.31694352159414,1.57961826496299,3.39843328057671,1.71391679965553e-05,"2.32 (1.58-3.40)","<0.001",0.000137113343972443,"<0.001"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","gained_control","Gained control",6975,330,2.47536701025028,1.5852207111852,3.8653556518664,6.71323874351379e-05,"2.48 (1.59-3.87)","<0.001",0.000268529549740552,"<0.001"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6975,330,2.42585967004523,1.36589584824116,4.30837764557942,0.00249437599928377,"2.43 (1.37-4.31)","0.002",0.00498875199856824,"0.005"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","control_loss","Control loss",6975,330,1.94145359544264,1.07664463247103,3.50091566853057,0.0274189042968416,"1.94 (1.08-3.50)","0.027",0.0365585390624555,"0.037"
"incident_heart_2015_2018","model1_crude","OR","Persistent non-hypertensive","other_transition","Other transitions",6975,330,1.25309307459294,0.782026255994231,2.00791500484401,0.348293165279404,"1.25 (0.78-2.01)","0.348",0.39804933174789,"0.398"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6967,330,1.60238221011771,1.14890580118705,2.23484705591081,0.00547278968992128,"1.60 (1.15-2.23)","0.005",0.0109455793798426,"0.011"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6967,330,1.10682046897014,0.71690615487164,1.70880322648455,0.646930862830516,"1.11 (0.72-1.71)","0.647",0.646930862830516,"0.647"
