"model","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci"
"all_missing_as_events","persistent_controlled","Persistent control",7379,1127,1.14339241582765,0.798498961927012,1.63725474785489,0.464447856734742,"1.14 (0.80-1.64)"
"all_missing_as_events","control_loss","Loss of control",7379,1127,1.37879539609127,1.03431739850791,1.83800132050852,0.0285202123740233,"1.38 (1.03-1.84)"
"all_missing_as_events","other_transition","Other transitions",7379,1127,1.18891971810347,0.954343604120511,1.4811542614129,0.122772165656779,"1.19 (0.95-1.48)"
"ipcw_survivors_only","incident_hypertension","Incident hypertension",6707,455,1.51761538385705,1.14318855401609,2.01467767082556,0.00390450200546893,"1.52 (1.14-2.01)"
"ipcw_survivors_only","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6707,455,1.31706833007934,0.955946267130942,1.81460929943709,0.0920957793355436,"1.32 (0.96-1.81)"
"ipcw_survivors_only","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6707,455,1.97190649019347,1.23069862140396,3.15951861685788,0.00475683108327421,"1.97 (1.23-3.16)"
"ipcw_survivors_only","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",6707,455,2.40249585213791,1.82875560050374,3.15623712537088,3.05775900423786e-10,"2.40 (1.83-3.16)"
"ipcw_survivors_only","gained_control","Gained control",6707,455,1.68074233073143,1.09951029398799,2.56922995424304,0.0164784143414591,"1.68 (1.10-2.57)"
"ipcw_survivors_only","persistent_controlled","Persistent control",6707,455,1.52684072702863,0.944577044896682,2.46802801138188,0.0841169483615142,"1.53 (0.94-2.47)"
"ipcw_survivors_only","control_loss","Loss of control",6707,455,1.52579316657612,0.936194238191655,2.48671129579607,0.0899934817093546,"1.53 (0.94-2.49)"
"ipcw_survivors_only","other_transition","Other transitions",6707,455,1.18481799143246,0.796624755000241,1.76217681412828,0.402396247562624,"1.18 (0.80-1.76)"
