"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","incident_hypertension","Incident hypertension",6707,455,1.55827265501523,1.14794313215216,2.11527348294318,0.00444282219925842,"1.56 (1.15-2.12)","0.004"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6707,455,1.33706248373337,0.946648007939583,1.88849083335454,0.0991912789710214,"1.34 (0.95-1.89)","0.099"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6707,455,2.09286128263742,1.23300628561999,3.55234875883891,0.0062202171360427,"2.09 (1.23-3.55)","0.006"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",6707,455,2.62737528614167,1.92398976693393,3.58790936046858,1.22860655679453e-09,"2.63 (1.92-3.59)","<0.001"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","gained_control","Gained control",6707,455,1.75437836874226,1.0965794082378,2.80676751504647,0.0190504607662618,"1.75 (1.10-2.81)","0.019"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","persistent_controlled","Persistent control",6707,455,1.57114649251239,0.925527565180912,2.66712888281341,0.094255723728378,"1.57 (0.93-2.67)","0.094"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","control_loss","Loss of control",6707,455,1.58002350992173,0.922658252440625,2.70574103174353,0.0955726782220822,"1.58 (0.92-2.71)","0.096"
"incident_cvd_2015_2018","supplementary_logistic_cluster_model3","OR","Persistent non-hypertension","other_transition","Other transitions",6707,455,1.2034852890248,0.786685753230022,1.84111233100673,0.393159586779799,"1.20 (0.79-1.84)","0.393"
