htn_state_2011,htn_state_2015,n,cvd_events,heart_events,stroke_events,event_rate_pct,mean_sbp_2011,mean_dbp_2011,mean_sbp_2015,mean_dbp_2015,state_2011_label,state_2015_label
aware_untreated,aware_untreated,141,8.0,6.0,2.0,5.673758865248227,137.9787234042553,80.07328605200946,138.80023640661938,79.79905437352245,Aware but untreated,Aware but untreated
aware_untreated,normal,44,3.0,2.0,1.0,6.8181818181818175,125.53030303030302,75.73484848484848,121.50757575757575,72.42424242424242,Aware but untreated,Non-hypertensive
aware_untreated,treated_controlled,71,3.0,2.0,1.0,4.225352112676056,138.6431924882629,80.03755868544602,125.76525821596245,74.13145539906102,Aware but untreated,Treated and controlled
aware_untreated,treated_uncontrolled,96,15.0,7.0,8.0,15.625,154.83333333333334,86.98784722222223,156.51736111111111,88.14583333333333,Aware but untreated,Treated but uncontrolled
aware_untreated,unaware_htn,26,4.0,2.0,2.0,15.384615384615385,144.1025641025641,82.42307692307692,154.92307692307693,86.98717948717947,Aware but untreated,Unaware hypertension
normal,aware_untreated,186,7.0,5.0,2.0,3.763440860215054,122.80286738351253,73.02150537634408,129.47132616487457,77.03584229390681,Non-hypertensive,Aware but untreated
normal,normal,3616,174.0,129.0,50.0,4.811946902654867,116.45870206489676,69.56093289085545,116.9029314159292,69.83646755162242,Non-hypertensive,Non-hypertensive
normal,treated_controlled,143,20.0,15.0,7.0,13.986013986013987,125.13519813519812,74.13752913752913,124.45571095571097,72.86013986013987,Non-hypertensive,Treated and controlled
normal,treated_uncontrolled,83,7.0,7.0,0.0,8.433734939759036,128.46586345381525,75.97590361445783,148.27710843373495,83.82329317269075,Non-hypertensive,Treated but uncontrolled
normal,unaware_htn,528,39.0,25.0,14.0,7.386363636363637,124.81060606060606,73.75883838383838,145.8241792929293,85.2238005050505,Non-hypertensive,Unaware hypertension
treated_controlled,aware_untreated,51,2.0,2.0,0.0,3.9215686274509802,125.09803921568627,74.79738562091502,135.37908496732027,79.47712418300654,Treated and controlled,Aware but untreated
treated_controlled,normal,29,2.0,2.0,0.0,6.896551724137931,121.75862068965517,70.19540229885058,120.17241379310344,69.64367816091955,Treated and controlled,Non-hypertensive
treated_controlled,treated_controlled,170,15.0,14.0,3.0,8.823529411764707,124.78039215686275,74.0921568627451,123.95098039215686,72.45686274509804,Treated and controlled,Treated and controlled
treated_controlled,treated_uncontrolled,135,14.0,11.0,4.0,10.37037037037037,128.25185185185185,74.71604938271605,151.51234567901236,85.31234567901234,Treated and controlled,Treated but uncontrolled
treated_controlled,unaware_htn,8,1.0,0.0,1.0,12.5,129.125,79.125,152.95833333333334,85.83333333333333,Treated and controlled,Unaware hypertension
treated_uncontrolled,aware_untreated,58,8.0,4.0,4.0,13.793103448275861,159.0287356321839,88.32758620689656,148.83333333333334,82.0919540229885,Treated but uncontrolled,Aware but untreated
treated_uncontrolled,normal,5,0.0,0.0,0.0,0.0,159.46666666666667,81.93333333333334,116.93333333333332,75.26666666666667,Treated but uncontrolled,Non-hypertensive
treated_uncontrolled,treated_controlled,130,15.0,13.0,3.0,11.538461538461538,156.08461538461538,87.03076923076924,128.0653846153846,74.8974358974359,Treated but uncontrolled,Treated and controlled
treated_uncontrolled,treated_uncontrolled,302,43.0,25.0,20.0,14.23841059602649,160.95971302428256,88.61920529801324,156.9150110375276,86.64514348785872,Treated but uncontrolled,Treated but uncontrolled
treated_uncontrolled,unaware_htn,7,1.0,0.0,1.0,14.285714285714285,160.0952380952381,81.71428571428571,155.95238095238096,78.80952380952381,Treated but uncontrolled,Unaware hypertension
unaware_htn,aware_untreated,141,8.0,5.0,3.0,5.673758865248227,155.41489361702128,88.0307328605201,146.7304964539007,84.54373522458629,Unaware hypertension,Aware but untreated
unaware_htn,normal,389,24.0,17.0,8.0,6.169665809768637,147.82519280205656,84.72536418166237,125.36075407026564,73.8770351328192,Unaware hypertension,Non-hypertensive
unaware_htn,treated_controlled,97,11.0,10.0,4.0,11.34020618556701,157.57388316151201,89.54982817869417,127.32646048109964,74.89003436426117,Unaware hypertension,Treated and controlled
unaware_htn,treated_uncontrolled,170,18.0,14.0,5.0,10.588235294117647,160.9029411764706,89.45588235294117,157.34117647058824,87.60196078431373,Unaware hypertension,Treated but uncontrolled
unaware_htn,unaware_htn,349,25.0,13.0,14.0,7.163323782234957,153.75214899713467,86.05348615090736,153.5,86.00859598853869,Unaware hypertension,Unaware hypertension
