"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,455,1.51634975383315,1.15980332660229,1.9825055879826,0.00233458952078715,"1.52 (1.16-1.98)","0.002"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,455,1.31778890109622,0.951680648844362,1.82473773104571,0.0965603014716698,"1.32 (0.95-1.82)","0.097"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,455,1.97853624297701,1.2429103421769,3.14954790537614,0.00401753875652027,"1.98 (1.24-3.15)","0.004"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,455,2.39499808228233,1.77695150800951,3.22800919905876,9.74572670297817e-09,"2.39 (1.78-3.23)","<0.001"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","gained_control","Gained control",6707,455,1.68613774978491,1.12885908607045,2.51852560371056,0.0107078450617894,"1.69 (1.13-2.52)","0.011"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,455,1.5297692715518,0.925957983962979,2.52732204345643,0.096979697039598,"1.53 (0.93-2.53)","0.097"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","control_loss","Control loss",6707,455,1.53816991628375,0.946536965599055,2.49960305550556,0.0821756650800213,"1.54 (0.95-2.50)","0.082"
"incident_cvd_2015_2018","modified_poisson_model3","RR","Persistent non-hypertensive","other_transition","Other transitions",6707,455,1.19487957441849,0.815815294364316,1.75007407586665,0.360475962890165,"1.19 (0.82-1.75)","0.360"
