"variable","group","value"
"hukou: agricultural","Persistent aware/treated but uncontrolled","392 (86.0)"
"hukou: non_agricultural","Persistent aware/treated but uncontrolled","57 (12.5)"
"hukou: other","Persistent aware/treated but uncontrolled","7 (1.5)"
"education: no_formal","Persistent aware/treated but uncontrolled","154 (33.8)"
"education: primary_or_below","Persistent aware/treated but uncontrolled","183 (40.1)"
"education: middle_school","Persistent aware/treated but uncontrolled","80 (17.5)"
"education: high_school_plus","Persistent aware/treated but uncontrolled","39 (8.6)"
"marital: married_partnered","Persistent aware/treated but uncontrolled","394 (86.4)"
"marital: not_married_partnered","Persistent aware/treated but uncontrolled","62 (13.6)"
"N","Gained control","298"
"age_2011","Gained control","60.4 +/- 9.4"
"bmi_2011","Gained control","25.1 +/- 4.6"
"sbp_2011","Gained control","152.4 +/- 19.5"
"dbp_2011","Gained control","86.2 +/- 11.7"
"sbp_2015","Gained control","127.3 +/- 9.4"
"dbp_2015","Gained control","74.7 +/- 8.5"
"current_smoking","Gained control","109 (36.6)"
"alcohol_last_year","Gained control","95 (31.9)"
"diabetes","Gained control","20 (6.8)"
"dyslipidemia","Gained control","46 (15.8)"
"sex: male","Gained control","125 (41.9)"
"sex: female","Gained control","173 (58.1)"
"hukou: agricultural","Gained control","261 (87.6)"
"hukou: non_agricultural","Gained control","37 (12.4)"
"hukou: other","Gained control","0 (0.0)"
"education: no_formal","Gained control","88 (29.5)"
"education: primary_or_below","Gained control","140 (47.0)"
"education: middle_school","Gained control","52 (17.4)"
"education: high_school_plus","Gained control","18 (6.0)"
"marital: married_partnered","Gained control","258 (86.6)"
"marital: not_married_partnered","Gained control","40 (13.4)"
"N","Persistent controlled","170"
"age_2011","Persistent controlled","60.3 +/- 8.3"
"bmi_2011","Persistent controlled","25.5 +/- 3.4"
"sbp_2011","Persistent controlled","124.8 +/- 10.3"
"dbp_2011","Persistent controlled","74.1 +/- 9.0"
"sbp_2015","Persistent controlled","124.0 +/- 9.1"
"dbp_2015","Persistent controlled","72.5 +/- 7.9"
"current_smoking","Persistent controlled","60 (35.3)"
"alcohol_last_year","Persistent controlled","46 (27.1)"
"diabetes","Persistent controlled","12 (7.1)"
"dyslipidemia","Persistent controlled","31 (18.6)"
"sex: male","Persistent controlled","69 (40.6)"
"sex: female","Persistent controlled","101 (59.4)"
"hukou: agricultural","Persistent controlled","131 (77.1)"
"hukou: non_agricultural","Persistent controlled","38 (22.4)"
"hukou: other","Persistent controlled","1 (0.6)"
"education: no_formal","Persistent controlled","44 (25.9)"
"education: primary_or_below","Persistent controlled","80 (47.1)"
"education: middle_school","Persistent controlled","30 (17.6)"
"education: high_school_plus","Persistent controlled","16 (9.4)"
"marital: married_partnered","Persistent controlled","159 (93.5)"
"marital: not_married_partnered","Persistent controlled","11 (6.5)"
"N","Control loss","194"
"age_2011","Control loss","59.7 +/- 7.7"
"bmi_2011","Control loss","25.3 +/- 4.3"
"sbp_2011","Control loss","127.5 +/- 8.7"
"dbp_2011","Control loss","74.9 +/- 8.3"
"sbp_2015","Control loss","147.3 +/- 17.6"
"dbp_2015","Control loss","83.8 +/- 10.8"
"current_smoking","Control loss","67 (34.5)"
"alcohol_last_year","Control loss","60 (30.9)"
"diabetes","Control loss","20 (10.4)"
"dyslipidemia","Control loss","43 (22.3)"
"sex: male","Control loss","88 (45.4)"
"sex: female","Control loss","106 (54.6)"
"hukou: agricultural","Control loss","156 (80.4)"
"hukou: non_agricultural","Control loss","35 (18.0)"
"hukou: other","Control loss","3 (1.5)"
"education: no_formal","Control loss","51 (26.3)"
"education: primary_or_below","Control loss","82 (42.3)"
"education: middle_school","Control loss","46 (23.7)"
"education: high_school_plus","Control loss","15 (7.7)"
"marital: married_partnered","Control loss","172 (88.7)"
"marital: not_married_partnered","Control loss","22 (11.3)"
"N","Other transitions","474"
"age_2011","Other transitions","60.4 +/- 9.5"
"bmi_2011","Other transitions","23.2 +/- 4.0"
"sbp_2011","Other transitions","144.5 +/- 14.9"
"dbp_2011","Other transitions","82.9 +/- 10.3"
"sbp_2015","Other transitions","125.0 +/- 10.8"
"dbp_2015","Other transitions","73.6 +/- 8.2"
"current_smoking","Other transitions","178 (37.6)"
"alcohol_last_year","Other transitions","153 (32.3)"
"diabetes","Other transitions","18 (3.8)"
"dyslipidemia","Other transitions","32 (6.9)"
"sex: male","Other transitions","218 (46.0)"
"sex: female","Other transitions","255 (53.8)"
"hukou: agricultural","Other transitions","416 (87.8)"
"hukou: non_agricultural","Other transitions","58 (12.2)"
"hukou: other","Other transitions","0 (0.0)"
"education: no_formal","Other transitions","155 (32.7)"
"education: primary_or_below","Other transitions","194 (40.9)"
"education: middle_school","Other transitions","92 (19.4)"
"education: high_school_plus","Other transitions","33 (7.0)"
"marital: married_partnered","Other transitions","395 (83.3)"
"marital: not_married_partnered","Other transitions","79 (16.7)"
