"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,455,1.60265474960426,1.20243167862928,2.1360899684189,0.0012990028484341,"1.60 (1.20-2.14)","0.001"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,455,1.36736249313109,0.968410560959249,1.93066893629256,0.0755100026199151,"1.37 (0.97-1.93)","0.076"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,455,2.25622787409307,1.34117681759611,3.7955951467747,0.00217710861784034,"2.26 (1.34-3.80)","0.002"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,455,2.78059623932233,2.00951740376188,3.847548387319,7.14622348139592e-10,"2.78 (2.01-3.85)","<0.001"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","gained_control","Gained control",6707,455,1.66266380853272,1.06429483078787,2.59744843274124,0.0255309703244586,"1.66 (1.06-2.60)","0.026"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,455,1.37470086215598,0.776756825993071,2.43293962431075,0.274595948950371,"1.37 (0.78-2.43)","0.275"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","control_loss","Control loss",6707,455,1.22812857067139,0.68639198109196,2.19743211990887,0.488789534022627,"1.23 (0.69-2.20)","0.489"
"incident_cvd_2015_2018","baseline_biomarker_weighted_model3","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,455,1.31493638612033,0.879675581831999,1.96556291348033,0.181947956539479,"1.31 (0.88-1.97)","0.182"
