"mean_sbp","or","lo","hi"
103.166666666667,0.708604879033714,0.500534125802182,1.00317011110014
103.762121212121,0.717229827335392,0.513315645505519,1.00214873581917
104.357575757576,0.725963708421991,0.525935954873091,1.00206745909391
104.95303030303,0.734808020262425,0.538357858960888,1.00294407828309
105.548484848485,0.743764283656197,0.550546277612076,1.00479347901867
106.143939393939,0.752834042615051,0.562469458300619,1.0076264361668
106.739393939394,0.762018864751509,0.574100233730119,1.01144837803733
107.334848484849,0.771320341674452,0.585417239253589,1.01625819943283
107.930303030303,0.780740089391865,0.596405991272963,1.02204722303776
108.525757575758,0.790279748720908,0.607059726227137,1.0287984101991
109.121212121212,0.799940985705418,0.617379913795699,1.03648590812935
109.716666666667,0.809725492041026,0.627376387353273,1.04507499115023
110.312121212121,0.819634985508019,0.637067075257135,1.05452241304038
110.907575757576,0.829671210412092,0.646477360683844,1.06477714340766
111.50303030303,0.839835938033161,0.655639136694293,1.07578142203081
112.098484848485,0.85013096708239,0.664589649688801,1.08747203861941
112.693939393939,0.860558124167577,0.67337023460963,1.09978173522942
113.289393939394,0.871119264267089,0.682025039539672,1.11264063426383
113.884848484848,0.881816271212499,0.690599819506886,1.12597761280962
114.480303030303,0.892651058180096,0.699140854801641,1.13972156854733
115.075757575758,0.90362556819145,0.707694023327369,1.15380254823998
115.671212121212,0.914741774623202,0.716304033485843,1.16815273281208
116.266666666667,0.926001681726277,0.725013806096,1.18270729101999
116.862121212121,0.937407325154684,0.733863981458884,1.19740512609269
117.457575757576,0.948960772504117,0.742892520352878,1.21218954704761
118.05303030303,0.960664123860526,0.752134364313861,1.22700889981886
118.648484848485,0.972519512358889,0.76162111971603,1.24181719418628
119.243939393939,0.984529101936901,0.7713807218204,1.25657476929578
119.839393939394,0.996693221289481,0.781431131514358,1.27125390492092
120.434848484848,1.00900698475542,0.791769266496342,1.28584821155083
121.030303030303,1.02146431081407,0.80238395234722,1.30036167250683
121.625757575758,1.03405874959045,0.81325902839084,1.31480556658595
122.221212121212,1.04678347206643,0.824373774387103,1.32919759390225
122.816666666667,1.05963125970743,0.83570332582079,1.34356101245185
123.412121212121,1.0725944945557,0.847219099910976,1.35792376478773
124.007575757576,1.08566514984394,0.858889252874401,1.37231757603333
124.60303030303,1.09883478118482,0.870679186255313,1.38677700742398
125.198484848485,1.11209451839389,0.882552116176482,1.40133845375588
125.793939393939,1.12543505800565,0.894469714070869,1.41603907864433
126.389393939394,1.13884665654386,0.906392820819267,1.43091568835335
