"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,455,1.60265475677324,1.13880602001106,2.25543439731988,0.00716043981454372,"1.60 (1.14-2.26)","0.007"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,455,1.36736249905846,0.91567343318398,2.04186354662508,0.127095804928487,"1.37 (0.92-2.04)","0.127"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,455,2.25622788425647,1.15534680607531,4.40609195345332,0.0177254659817755,"2.26 (1.16-4.41)","0.018"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,455,2.78059625112684,1.91402646788416,4.03950292303303,1.48061528286554e-07,"2.78 (1.91-4.04)","<0.001"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","gained_control","Gained control",6707,455,1.66266381541475,1.00567606356193,2.74884832527319,0.0482743916920466,"1.66 (1.01-2.75)","0.048"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,455,1.37470086755226,0.76668393579833,2.4649042284695,0.286183644651359,"1.37 (0.77-2.46)","0.286"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","control_loss","Control loss",6707,455,1.22812857532404,0.676907257640482,2.22822222764311,0.499433150621863,"1.23 (0.68-2.23)","0.499"
"incident_cvd_2015_2018","survey_design_baseline_weight_model3","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,455,1.31493639185822,0.795142273177704,2.17452621116861,0.286816280999288,"1.31 (0.80-2.17)","0.287"
