"item","value"
"Exposure","Cumulative mean SBP from 2011 and 2015"
"Formula","mean_sbp_2011_2015 = (SBP_2011 + SBP_2015) / 2"
"Spline type","Natural cubic spline/restricted cubic spline with four knots"
"Knots","5th, 35th, 65th, and 95th percentiles: 103.2, 119.8, 133.3, and 162.2 mm Hg"
"Reference value","120 mm Hg"
"Extreme values","No participants were excluded only for the spline model; the curve is plotted over the 5th to 95th percentile range."
"Adjustment set","Same as the fully adjusted model: age, sex, hukou, education, marital status, BMI, current smoking, alcohol drinking in the past year, diabetes, and dyslipidemia."
"Overall association P","<0.001"
"Nonlinearity P","0.292"
