"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,455,1.52905001123608,1.13754691231373,2.05529452152936,0.00489274135447116,"1.53 (1.14-2.06)","0.005"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,455,1.27073921127055,0.835084253619854,1.93367092728776,0.263309445083688,"1.27 (0.84-1.93)","0.263"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,455,1.97202073799473,1.07803108572539,3.60737815687803,0.0275348166061037,"1.97 (1.08-3.61)","0.028"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,455,2.48750011524078,1.59522852766598,3.87885291418165,5.81008054343964e-05,"2.49 (1.60-3.88)","<0.001"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","gained_control","Gained control",6707,455,1.66856468616909,1.01203933608192,2.75098804233159,0.0447589586420499,"1.67 (1.01-2.75)","0.045"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,455,1.53698725334851,0.87229455384309,2.70817902799921,0.136949165805544,"1.54 (0.87-2.71)","0.137"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","control_loss","Control loss",6707,455,1.55120873604865,0.904993252444524,2.6588579929121,0.110288657016294,"1.55 (0.90-2.66)","0.110"
"incident_cvd_2015_2018","sensitivity_baseline_bp_adjusted","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,455,1.14390914967984,0.724880115618652,1.80516490179138,0.563499422048772,"1.14 (0.72-1.81)","0.563"
