transition_group,adjusted_risk,risk_ci_lower,risk_ci_upper,marginal_rr,rr_ci_lower,rr_ci_upper,risk_difference,rd_ci_lower,rd_ci_upper,valid_bootstrap_replicates,transition_group_label,adjusted_risk_per_1000,risk_ci_lower_per_1000,risk_ci_upper_per_1000,risk_difference_per_1000,rd_ci_lower_per_1000,rd_ci_upper_per_1000
control_loss,0.0795561964445758,0.0413577443484337,0.118549718690587,1.5298731962617,0.814016602984046,2.34110930099368,0.0275543726078197,-0.00954527488924013,0.067178318993988,1000,Loss of control,79.6,41.4,118.5,27.6,-9.5,67.2
gained_control,0.0875037392468362,0.0526656584112412,0.128189058886174,1.68270519744707,1.02846016285444,2.50593946940408,0.0355019154100801,0.00147297156206443,0.076411896193815,1000,Gained control,87.5,52.7,128.2,35.5,1.5,76.4
incident_hypertension,0.0785542230960565,0.0604144937191082,0.0981934384702293,1.5106051538241,1.1140678267408,2.00640097584761,0.0265523992593005,0.00602334363899548,0.0481731997503744,1000,Incident hypertension,78.6,60.4,98.2,26.6,6.0,48.2
new_awareness_or_treatment_uncontrolled,0.102517858077784,0.0571487064625754,0.151204926714904,1.97142812528282,1.09015952038092,2.89956649728529,0.0505160342410275,0.0045499763054648,0.0977686157547451,1000,New awareness/treatment without control,102.5,57.1,151.2,50.5,4.5,97.8
other_transition,0.0618703699172475,0.0401782877167261,0.0851791761818783,1.1897730762573,0.745646103682965,1.70726987933309,0.00986854608049142,-0.0134069967134282,0.035488284479362,1000,Other transitions,61.9,40.2,85.2,9.9,-13.4,35.5
persistent_aware_or_treated_uncontrolled,0.125176564238664,0.0967966539482114,0.157983690977417,2.40715719186345,1.79890107923146,3.09770411478986,0.0731747404019077,0.0434481376579291,0.105303108705377,1000,Persistent awareness or treatment without control,125.2,96.8,158.0,73.2,43.4,105.3
persistent_controlled,0.0791475531107152,0.0455134622231879,0.118698202067531,1.5220149462291,0.851711373368066,2.37224991564219,0.0271457292739591,-0.00810027694126273,0.0670324054519295,1000,Persistent control,79.1,45.5,118.7,27.1,-8.1,67.0
persistent_nonhypertensive,0.0520018238367561,0.0438716008695978,0.0596004370491343,1,1,1,0,0,0,1000,Persistent non-hypertension,52.0,43.9,59.6,0.0,0.0,0.0
persistent_unaware_or_untreated,0.0682281867007621,0.0494139851783831,0.0887011744538154,1.312034495462,0.932617852238091,1.75504253017989,0.0162263628640061,-0.00370538569752254,0.036469566153014,1000,Persistent unawareness/no treatment,68.2,49.4,88.7,16.2,-3.7,36.5
