"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,455,1.55454956448514,1.16424028484135,2.0757092671555,0.00279158257201018,"1.55 (1.16-2.08)","0.003"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,455,1.33906120732496,0.951472552802537,1.88453667074377,0.0940446614789212,"1.34 (0.95-1.88)","0.094"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,455,2.08563558868354,1.24686548596006,3.48864882199704,0.00511537862521225,"2.09 (1.25-3.49)","0.005"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,455,2.63526996189015,1.91042867248188,3.63512538943343,3.71184160079638e-09,"2.64 (1.91-3.64)","<0.001"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","gained_control","Gained control",6707,455,1.74043040915763,1.12970594929137,2.68131544409466,0.0119908401816373,"1.74 (1.13-2.68)","0.012"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,455,1.56079710612974,0.885075363834147,2.75240697690402,0.124048480543487,"1.56 (0.89-2.75)","0.124"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","control_loss","Control loss",6707,455,1.56441390757888,0.920428893321047,2.65896789201788,0.0982525723781529,"1.56 (0.92-2.66)","0.098"
"incident_cvd_2015_2018","ipcw_model3","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,455,1.21343625409993,0.809334868083243,1.81930570500594,0.349185783561483,"1.21 (0.81-1.82)","0.349"
