"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","subgroup_variable","subgroup_level","interaction_p","interaction_p_text"
"incident_cvd_2015_2018","subgroup_age_group_45-59","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",3998,236,2.36097243197861,1.55302675072835,3.58924327732848,5.82361255133284e-05,"2.36 (1.55-3.59)","<0.001","age_group","45-59",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_45-59","RR","Persistent non-hypertension","gained_control","Gained control",3998,236,1.59571169364416,0.9164211883289,2.77852131930288,0.0986267505209812,"1.60 (0.92-2.78)","0.099","age_group","45-59",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_45-59","RR","Persistent non-hypertension","persistent_controlled","Persistent control",3998,236,1.21388659508927,0.551824651933917,2.67026973255606,0.629881920919664,"1.21 (0.55-2.67)","0.630","age_group","45-59",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_45-59","RR","Persistent non-hypertension","control_loss","Loss of control",3998,236,1.62231407644549,0.84196556288354,3.12590333697202,0.148192015281658,"1.62 (0.84-3.13)","0.148","age_group","45-59",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_45-59","RR","Persistent non-hypertension","other_transition","Other transitions",3998,236,1.11174491829642,0.621169367938725,1.98975807107062,0.72132209246215,"1.11 (0.62-1.99)","0.721","age_group","45-59",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","incident_hypertension","Incident hypertension",2709,219,1.346709954873,0.886409807802083,2.04603749483668,0.163032357608393,"1.35 (0.89-2.05)","0.163","age_group",">=60",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",2709,219,1.33158502863196,0.875507121217047,2.02524759137533,0.180715864521682,"1.33 (0.88-2.03)","0.181","age_group",">=60",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",2709,219,1.50869770760302,0.743393207220514,3.06186383036375,0.254770458305617,"1.51 (0.74-3.06)","0.255","age_group",">=60",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",2709,219,2.42786678199972,1.65063319629077,3.57107631446141,6.61521025243433e-06,"2.43 (1.65-3.57)","<0.001","age_group",">=60",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","gained_control","Gained control",2709,219,1.70748709708244,0.925399264684806,3.15054517327293,0.0869104216766981,"1.71 (0.93-3.15)","0.087","age_group",">=60",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","persistent_controlled","Persistent control",2709,219,1.67027215903166,0.908490292020686,3.0708188185821,0.0987169134326485,"1.67 (0.91-3.07)","0.099","age_group",">=60",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","control_loss","Loss of control",2709,219,1.20240778687944,0.556053915637484,2.60007967804848,0.639460159349964,"1.20 (0.56-2.60)","0.639","age_group",">=60",0.969245504588053,"0.969"
"incident_cvd_2015_2018","subgroup_age_group_>=60","RR","Persistent non-hypertension","other_transition","Other transitions",2709,219,1.25108488620528,0.745668419123367,2.09907426994346,0.396186021598957,"1.25 (0.75-2.10)","0.396","age_group",">=60",0.969245504588053,"0.969"
