"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6706,454,1.5568993029685,1.16470263812872,2.08116248751546,0.00279305958864054,"1.56 (1.16-2.08)","0.003"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6706,454,1.30402615295565,0.919389657437595,1.84957943983369,0.136572791183647,"1.30 (0.92-1.85)","0.137"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6706,454,2.08897769971229,1.24298666010438,3.51075998637735,0.00541579903403924,"2.09 (1.24-3.51)","0.005"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6706,454,2.62006363840255,1.88727922879669,3.63737032895556,8.68448060005622e-09,"2.62 (1.89-3.64)","<0.001"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","gained_control","Gained control",6706,454,1.75047995623504,1.13666600694679,2.69576116330895,0.0110386253334216,"1.75 (1.14-2.70)","0.011"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6706,454,1.56752052901647,0.892146980403318,2.75416569563153,0.118022075493469,"1.57 (0.89-2.75)","0.118"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","control_loss","Control loss",6706,454,1.57591981826457,0.923362386389936,2.68965176641953,0.0953835032774101,"1.58 (0.92-2.69)","0.095"
"strict_cvd_2016_2018","sensitivity_strict_2016_2018_model3","OR","Persistent non-hypertensive","other_transition","Other transitions",6706,454,1.20190205520168,0.796397422288467,1.813878987889,0.381127901042891,"1.20 (0.80-1.81)","0.381"
