"Transition group","Events/participants","Crude OR (95% CI)","Model 2 OR (95% CI)","Fully adjusted OR (95% CI)"
"Incident hypertension","73/940","1.67 (1.25-2.21)","1.64 (1.23-2.18)","1.56 (1.17-2.08)"
"Persistent unaware/untreated hypertension","45/657","1.45 (1.04-2.04)","1.39 (0.98-1.95)","1.34 (0.95-1.89)"
"New awareness/treatment but uncontrolled","18/170","2.34 (1.40-3.91)","2.15 (1.28-3.61)","2.09 (1.25-3.52)"
"Persistent awareness or treatment but uncontrolled","66/456","3.35 (2.47-4.53)","3.10 (2.28-4.21)","2.63 (1.89-3.65)"
"Gained control","29/298","2.13 (1.41-3.22)","1.98 (1.31-3.00)","1.75 (1.14-2.70)"
"Persistent controlled","15/170","1.91 (1.10-3.32)","1.74 (1.00-3.03)","1.57 (0.89-2.76)"
"Loss of control","17/194","1.90 (1.13-3.20)","1.81 (1.07-3.06)","1.58 (0.93-2.70)"
"Other transitions","30/474","1.34 (0.90-1.99)","1.26 (0.84-1.89)","1.20 (0.80-1.82)"
